ID;Month;Sliding;Ba138;BaCa;BaCa_no_correction;Order;OrderS
ID072;AUG;JUL;9.203750446;1015.555995;574.5399485;2;1
ID072;AUG;JUL;8.303103499;1015.555995;574.5399485;2;1
ID072;AUG;JUL;6.922865769;1015.555995;574.5399485;2;1
ID073;AUG;JUL;8.408185856;1015.555995;574.5399485;2;1
ID073;AUG;JUL;7.125554084;1015.555995;574.5399485;2;1
ID073;AUG;JUL;6.241093828;1015.555995;574.5399485;2;1
ID074;AUG;JUL;6.146208177;1015.555995;574.5399485;2;1
ID074;AUG;JUL;5.470654483;1015.555995;574.5399485;2;1
ID074;AUG;JUL;5.322902761;1015.555995;574.5399485;2;1
ID075;AUG;JUL;6.284848274;1015.555995;574.5399485;2;1
ID075;AUG;JUL;4.972476166;1015.555995;574.5399485;2;1
ID075;AUG;JUL;3.816297767;1015.555995;574.5399485;2;1
ID076;AUG;JUL;9.193528139;1015.555995;574.5399485;2;1
ID076;AUG;JUL;6.720257518;1015.555995;574.5399485;2;1
ID076;AUG;JUL;5.388859617;1015.555995;574.5399485;2;1
ID077;AUG;JUL;4.290217768;1015.555995;574.5399485;2;1
ID077;AUG;JUL;5.009730355;1015.555995;574.5399485;2;1
ID077;AUG;JUL;4.130496248;1015.555995;574.5399485;2;1
ID078;AUG;JUL;6.826354428;1015.555995;574.5399485;2;1
ID078;AUG;JUL;5.073119987;1015.555995;574.5399485;2;1
ID078;AUG;JUL;4.531320788;1015.555995;574.5399485;2;1
ID079;AUG;JUL;10.01216193;1015.555995;574.5399485;2;1
ID079;AUG;JUL;8.429831707;1015.555995;574.5399485;2;1
ID079;AUG;JUL;5.574975379;1015.555995;574.5399485;2;1
ID080;AUG;JUL;6.244989845;1015.555995;574.5399485;2;1
ID080;AUG;JUL;5.416412654;1015.555995;574.5399485;2;1
ID080;AUG;JUL;4.690894146;1015.555995;574.5399485;2;1
ID081;AUG;JUL;14.57259872;1015.555995;574.5399485;2;1
ID081;AUG;JUL;8.284759809;1015.555995;574.5399485;2;1
ID081;AUG;JUL;5.88558579;1015.555995;574.5399485;2;1
ID082;AUG;JUL;8.828238793;1015.555995;574.5399485;2;1
ID082;AUG;JUL;7.672192914;1015.555995;574.5399485;2;1
ID082;AUG;JUL;4.798166152;1015.555995;574.5399485;2;1
ID083;AUG;JUL;3.627314314;1015.555995;574.5399485;2;1
ID083;AUG;JUL;2.659624814;1015.555995;574.5399485;2;1
ID083;AUG;JUL;2.535995897;1015.555995;574.5399485;2;1
ID121;AUG;JUL;23.13783493;1015.555995;574.5399485;2;1
ID121;AUG;JUL;26.07695435;1015.555995;574.5399485;2;1
ID121;AUG;JUL;40.45735487;1015.555995;574.5399485;2;1
ID173;AUG;JUL;9.616094887;1015.555995;574.5399485;2;1
ID173;AUG;JUL;9.711609227;1015.555995;574.5399485;2;1
ID173;AUG;JUL;8.702491812;1015.555995;574.5399485;2;1
ID174;AUG;JUL;21.70566406;1015.555995;574.5399485;2;1
ID174;AUG;JUL;17.95617183;1015.555995;574.5399485;2;1
ID174;AUG;JUL;11.72939149;1015.555995;574.5399485;2;1
ID044;SEP;AUG;14.86424917;574.5399485;4515.163943;3;2
ID044;SEP;AUG;9.990620402;574.5399485;4515.163943;3;2
ID044;SEP;AUG;10.31146832;574.5399485;4515.163943;3;2
ID047;SEP;AUG;7.344776072;574.5399485;4515.163943;3;2
ID047;SEP;AUG;7.581833985;574.5399485;4515.163943;3;2
ID047;SEP;AUG;6.549387528;574.5399485;4515.163943;3;2
ID048;SEP;AUG;6.624176093;574.5399485;4515.163943;3;2
ID048;SEP;AUG;4.045933327;574.5399485;4515.163943;3;2
ID048;SEP;AUG;4.097660868;574.5399485;4515.163943;3;2
ID050;SEP;AUG;5.944485243;574.5399485;4515.163943;3;2
ID050;SEP;AUG;5.430178023;574.5399485;4515.163943;3;2
ID050;SEP;AUG;4.843108504;574.5399485;4515.163943;3;2
ID051;SEP;AUG;5.120299296;574.5399485;4515.163943;3;2
ID051;SEP;AUG;4.031290322;574.5399485;4515.163943;3;2
ID051;SEP;AUG;3.655225289;574.5399485;4515.163943;3;2
ID052;SEP;AUG;2.600831222;574.5399485;4515.163943;3;2
ID052;SEP;AUG;2.709824028;574.5399485;4515.163943;3;2
ID052;SEP;AUG;2.347732933;574.5399485;4515.163943;3;2
ID053;SEP;AUG;1.513627607;574.5399485;4515.163943;3;2
ID053;SEP;AUG;1.415788832;574.5399485;4515.163943;3;2
ID053;SEP;AUG;1.250629425;574.5399485;4515.163943;3;2
ID209;SEP;AUG;5.54415424;574.5399485;4515.163943;3;2
ID209;SEP;AUG;4.391264606;574.5399485;4515.163943;3;2
ID209;SEP;AUG;3.82564128;574.5399485;4515.163943;3;2
ID211;SEP;AUG;9.790848584;574.5399485;4515.163943;3;2
ID211;SEP;AUG;9.090319185;574.5399485;4515.163943;3;2
ID211;SEP;AUG;8.208482589;574.5399485;4515.163943;3;2
ID212;SEP;AUG;5.133392742;574.5399485;4515.163943;3;2
ID212;SEP;AUG;5.183315477;574.5399485;4515.163943;3;2
ID212;SEP;AUG;5.127269793;574.5399485;4515.163943;3;2
ID070;OCT;SEP;5.679434366;4515.163943;1159.846925;4;3
ID070;OCT;SEP;5.347402954;4515.163943;1159.846925;4;3
ID070;OCT;SEP;5.186544923;4515.163943;1159.846925;4;3
ID197;OCT;SEP;8.071499395;4515.163943;1159.846925;4;3
ID197;OCT;SEP;4.528210063;4515.163943;1159.846925;4;3
ID197;OCT;SEP;3.476222742;4515.163943;1159.846925;4;3
ID198;OCT;SEP;3.192796961;4515.163943;1159.846925;4;3
ID198;OCT;SEP;3.071942905;4515.163943;1159.846925;4;3
ID198;OCT;SEP;3.290004284;4515.163943;1159.846925;4;3
ID199;OCT;SEP;2.853489734;4515.163943;1159.846925;4;3
ID199;OCT;SEP;2.683552681;4515.163943;1159.846925;4;3
ID199;OCT;SEP;2.703225722;4515.163943;1159.846925;4;3
ID201;OCT;SEP;9.374871849;4515.163943;1159.846925;4;3
ID201;OCT;SEP;6.101951738;4515.163943;1159.846925;4;3
ID201;OCT;SEP;5.202116311;4515.163943;1159.846925;4;3
ID202;OCT;SEP;3.784319549;4515.163943;1159.846925;4;3
ID202;OCT;SEP;3.799597762;4515.163943;1159.846925;4;3
ID202;OCT;SEP;4.32325444;4515.163943;1159.846925;4;3
