ID;Elapsed.Time;Time;Month;Year;Ontogeny;Season;Site;TL;Weight;Fulton;Mg24;Mn55;Cu65;Zn66;Ba138
ID012;72.43798804;72.4;JUL;2022;Juvenile;Late dry;Sao Mateus;187;103.18;1.577868129;241.5913604;0.424835519;0.129304393;0.231232155;15.3834616
ID012;74.70202613;74.7;JUL;2022;Juvenile;Late dry;Sao Mateus;187;103.18;1.577868129;226.4301294;1.293317594;0.121500976;0.425530505;11.28890861
ID012;76.96496606;77;JUL;2022;Juvenile;Late dry;Sao Mateus;187;103.18;1.577868129;224.7558534;0.020573554;0.175123537;0.248622341;8.335335558
ID013;61.11999488;61.1;JUL;2022;Juvenile;Late dry;Sao Mateus;180;89.09;1.52760631;238.5206255;0.055204472;0.276639845;0.301151505;9.635154432
ID013;63.38391089;63.4;JUL;2022;Juvenile;Late dry;Sao Mateus;180;89.09;1.52760631;228.0535575;0.013557984;0.205235041;0.536044162;8.341603521
ID013;65.64697194;65.6;JUL;2022;Juvenile;Late dry;Sao Mateus;180;89.09;1.52760631;236.5418578;0.082921482;0.064443982;0.170802153;7.274193999
ID014;83.75708103;83.8;JUL;2022;Juvenile;Late dry;Sao Mateus;147;42.38;1.334163171;208.8058533;0.082026267;0.108700189;0.274192867;5.916608709
ID014;86.02099705;86;JUL;2022;Juvenile;Late dry;Sao Mateus;147;42.38;1.334163171;246.4631336;0.66465185;0.246070675;0.311389803;4.809160647
ID014;88.28491306;88.3;JUL;2022;Juvenile;Late dry;Sao Mateus;147;42.38;1.334163171;239.1581677;6.158592247;0.06215325;0.086128563;3.811512524
ID015;79.22998118;79.2;JUL;2022;Juvenile;Late dry;Sao Mateus;260;270.16;1.53709604;290.1333588;0.855966997;0.217041913;0.621742687;5.539180867
ID015;81.49292016;81.5;JUL;2022;Juvenile;Late dry;Sao Mateus;260;270.16;1.53709604;291.7043617;0.875834098;0.184232053;0.825462242;6.619572415
ID015;83.75683618;83.8;JUL;2022;Juvenile;Late dry;Sao Mateus;260;270.16;1.53709604;264.2343189;0.343066396;0.003732733;0.318551223;7.018308769
ID016;61.11901903;61.1;JUL;2022;Juvenile;Late dry;Sao Mateus;165;71.29;1.586999471;238.2606044;0.154913364;0.190552857;0.17447936;27.81792526
ID016;63.38305688;63.4;JUL;2022;Juvenile;Late dry;Sao Mateus;165;71.29;1.586999471;224.9250062;0.921604621;0.186918953;0.200917143;18.02452704
ID016;65.64709496;65.6;JUL;2022;Juvenile;Late dry;Sao Mateus;165;71.29;1.586999471;250.8984141;0.228090192;0.1746334;0.824715395;0.438720873
