"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Mn55";"Mn_water";"Temp_water";"Sal_water"
"ID247";"77";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.777063026;9029.18498533333;24.03;21
"ID247";"79.2";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.022899932;9029.18498533333;24.03;21
"ID247";"81.5";"JAN";2023;2023-01-15;192;117.52;1.660382306;1.031890739;9029.18498533333;24.03;21
"ID248";"77";"JAN";2023;2023-01-15;170;71.74;1.460207612;1.471770059;9029.18498533333;24.03;21
"ID248";"79.2";"JAN";2023;2023-01-15;170;71.74;1.460207612;1.995346603;9029.18498533333;24.03;21
"ID248";"81.5";"JAN";2023;2023-01-15;170;71.74;1.460207612;1.037959111;9029.18498533333;24.03;21
"ID249";"70.2";"JAN";2023;2023-01-15;193;123.13;1.712742019;1.414594784;9029.18498533333;24.03;21
"ID249";"72.4";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.364494732;9029.18498533333;24.03;21
"ID249";"74.7";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.443320528;9029.18498533333;24.03;21
"ID251";"67.9";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.99077118;9029.18498533333;24.03;21
"ID251";"70.2";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.561463139;9029.18498533333;24.03;21
"ID251";"72.4";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.851903063;9029.18498533333;24.03;21
"ID253";"74.7";"JAN";2023;2023-01-15;167;67.94;1.458734079;0.336772229;9029.18498533333;24.03;21
"ID253";"77";"JAN";2023;2023-01-15;167;67.94;1.458734079;1.021304832;9029.18498533333;24.03;21
"ID253";"79.2";"JAN";2023;2023-01-15;167;67.94;1.458734079;1.169486474;9029.18498533333;24.03;21
"ID254";"54.3";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.310624169;9029.18498533333;24.03;21
"ID254";"56.6";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.310624169;9029.18498533333;24.03;21
"ID254";"58.9";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.170562878;9029.18498533333;24.03;21
"ID255";"67.9";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.681146168;9029.18498533333;24.03;21
"ID255";"70.2";"JAN";2023;2023-01-15;162;60.07;1.412903784;1.777122342;9029.18498533333;24.03;21
"ID255";"72.4";"JAN";2023;2023-01-15;162;60.07;1.412903784;2.147483078;9029.18498533333;24.03;21
"ID258";"63.4";"JAN";2023;2023-01-15;141;42.58;1.518966931;1.185604057;9029.18498533333;24.03;21
"ID258";"65.6";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.701732542;9029.18498533333;24.03;21
"ID258";"67.9";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.537834991;9029.18498533333;24.03;21
"ID259";"38.5";"JAN";2023;2023-01-15;129;30.43;1.417531836;0.920638086;9029.18498533333;24.03;21
"ID259";"40.7";"JAN";2023;2023-01-15;129;30.43;1.417531836;1.100068576;9029.18498533333;24.03;21
"ID259";"43";"JAN";2023;2023-01-15;129;30.43;1.417531836;0.203270832;9029.18498533333;24.03;21
"ID260";"45.3";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.54564356;9029.18498533333;24.03;21
"ID260";"47.5";"JAN";2023;2023-01-15;114;20.57;1.388416409;3.188315877;9029.18498533333;24.03;21
"ID260";"49.8";"JAN";2023;2023-01-15;114;20.57;1.388416409;1.792734965;9029.18498533333;24.03;21
"ID272";"86";"FEB";2023;2023-02-15;199;134.04;1.700885935;4.18128848;7922.492705;22.42;4
"ID272";"88.3";"FEB";2023;2023-02-15;199;134.04;1.700885935;1.885181747;7922.492705;22.42;4
"ID272";"90.5";"FEB";2023;2023-02-15;199;134.04;1.700885935;1.28095565;7922.492705;22.42;4
"ID273";"81.5";"FEB";2023;2023-02-15;200;136.63;1.707875;1.336722658;7922.492705;22.42;4
"ID273";"83.8";"FEB";2023;2023-02-15;200;136.63;1.707875;3.414215301;7922.492705;22.42;4
"ID273";"86";"FEB";2023;2023-02-15;200;136.63;1.707875;2.796669124;7922.492705;22.42;4
"ID274";"72.4";"FEB";2023;2023-02-15;205;134.37;1.559698786;1.852550625;7922.492705;22.42;4
"ID274";"74.7";"FEB";2023;2023-02-15;205;134.37;1.559698786;2.403289663;7922.492705;22.42;4
"ID274";"77";"FEB";2023;2023-02-15;205;134.37;1.559698786;4.139541846;7922.492705;22.42;4
"ID275";"79.2";"FEB";2023;2023-02-15;200;125.87;1.573375;0.47183004;7922.492705;22.42;4
"ID275";"81.5";"FEB";2023;2023-02-15;200;125.87;1.573375;0.068286241;7922.492705;22.42;4
"ID275";"83.8";"FEB";2023;2023-02-15;200;125.87;1.573375;0.905030374;7922.492705;22.42;4
"ID277";"70.2";"FEB";2023;2023-02-15;175;95.32;1.778565598;0.134403975;7922.492705;22.42;4
"ID277";"72.4";"FEB";2023;2023-02-15;175;95.32;1.778565598;0.38247777;7922.492705;22.42;4
"ID277";"74.7";"FEB";2023;2023-02-15;175;95.32;1.778565598;0.026333572;7922.492705;22.42;4
"ID278";"72.4";"FEB";2023;2023-02-15;174;81.01;1.537768241;0.215211932;7922.492705;22.42;4
