"ID";"Time";"Month";"Year";"Date";"TL";"Weight";"Fulton";"Zn66";"Zn_water";"Temp_water";"Sal_water"
"ID247";"77";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.001719261;1220.49689538333;23.9675;11.5
"ID247";"79.2";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.300311847;1220.49689538333;23.9675;11.5
"ID247";"81.5";"JAN";2023;2023-01-15;192;117.52;1.660382306;0.222718378;1220.49689538333;23.9675;11.5
"ID248";"77";"JAN";2023;2023-01-15;170;71.74;1.460207612;0.812964287;1220.49689538333;23.9675;11.5
"ID248";"79.2";"JAN";2023;2023-01-15;170;71.74;1.460207612;0.728066291;1220.49689538333;23.9675;11.5
"ID248";"81.5";"JAN";2023;2023-01-15;170;71.74;1.460207612;1.005639352;1220.49689538333;23.9675;11.5
"ID249";"70.2";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.334010435;1220.49689538333;23.9675;11.5
"ID249";"72.4";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.369107563;1220.49689538333;23.9675;11.5
"ID249";"74.7";"JAN";2023;2023-01-15;193;123.13;1.712742019;0.23391129;1220.49689538333;23.9675;11.5
"ID251";"67.9";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.910891474;1220.49689538333;23.9675;11.5
"ID251";"70.2";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.395734317;1220.49689538333;23.9675;11.5
"ID251";"72.4";"JAN";2023;2023-01-15;172;74.81;1.470192876;0.301635966;1220.49689538333;23.9675;11.5
"ID253";"74.7";"JAN";2023;2023-01-15;167;67.94;1.458734079;0.453764416;1220.49689538333;23.9675;11.5
"ID253";"77";"JAN";2023;2023-01-15;167;67.94;1.458734079;1.072933521;1220.49689538333;23.9675;11.5
"ID253";"79.2";"JAN";2023;2023-01-15;167;67.94;1.458734079;5.292021122;1220.49689538333;23.9675;11.5
"ID254";"54.3";"JAN";2023;2023-01-15;172;71.07;1.396693058;1.492960708;1220.49689538333;23.9675;11.5
"ID254";"56.6";"JAN";2023;2023-01-15;172;71.07;1.396693058;0.382556127;1220.49689538333;23.9675;11.5
"ID254";"58.9";"JAN";2023;2023-01-15;172;71.07;1.396693058;1.222999835;1220.49689538333;23.9675;11.5
"ID255";"67.9";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.45391612;1220.49689538333;23.9675;11.5
"ID255";"70.2";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.223085871;1220.49689538333;23.9675;11.5
"ID255";"72.4";"JAN";2023;2023-01-15;162;60.07;1.412903784;0.533756783;1220.49689538333;23.9675;11.5
"ID258";"63.4";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.730735907;1220.49689538333;23.9675;11.5
"ID258";"65.6";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.539423538;1220.49689538333;23.9675;11.5
"ID258";"67.9";"JAN";2023;2023-01-15;141;42.58;1.518966931;0.655633648;1220.49689538333;23.9675;11.5
"ID259";"38.5";"JAN";2023;2023-01-15;129;30.43;1.417531836;6.36177391;1220.49689538333;23.9675;11.5
"ID259";"40.7";"JAN";2023;2023-01-15;129;30.43;1.417531836;6.36177391;1220.49689538333;23.9675;11.5
"ID259";"43";"JAN";2023;2023-01-15;129;30.43;1.417531836;3.72689421;1220.49689538333;23.9675;11.5
"ID260";"45.3";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.469108833;1220.49689538333;23.9675;11.5
"ID260";"47.5";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.282425721;1220.49689538333;23.9675;11.5
"ID260";"49.8";"JAN";2023;2023-01-15;114;20.57;1.388416409;0.46589144;1220.49689538333;23.9675;11.5
"ID272";"86";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.217888659;1167.1915774;24.90025;11.8333333333333
"ID272";"88.3";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.430746485;1167.1915774;24.90025;11.8333333333333
"ID272";"90.5";"FEB";2023;2023-02-15;199;134.04;1.700885935;0.44027586;1167.1915774;24.90025;11.8333333333333
"ID273";"81.5";"FEB";2023;2023-02-15;200;136.63;1.707875;0.221566427;1167.1915774;24.90025;11.8333333333333
