Sample;Month;Year;Season;site;tide;Temp;Sal;Mg24w;Ca43w;Mn55w;Cu65w;Zn66w;Sr88w;Ba138w;MgCa;MnCa;CuCa;ZnCa;SrCa;BaCa
A001;JUL;2022;Late dry;Sao Mateus;low;24.03;4;28248.32033;781.6936221;9.197382424;0.12845667;0.664430817;31.7042571;0.793853644;36137329.94;11765.96836;164.3312245;849.9887908;40558.41855;1015.555995
A002;JUL;2022;Late dry;Sao Mateus;high;22.87;20;29088.07797;766.4558614;1.272802289;0.076903248;0.853823468;32.06746444;0.86532596;37951406.51;1660.633512;100.3361732;1113.98909;41838.63162;1128.996468
A008;AUG;2022;Late dry;Sao Mateus;low;22.42;29;28758.68675;890.0191838;3.084293523;0.07907127;0.480954426;32.70455422;0.511351576;32312434.69;3465.423643;88.842209;540.3865832;36745.89808;574.5399485
A009;AUG;2022;Late dry;Sao Mateus;high;23.48;34;28199.3786;925.2456362;0.732265929;0.102146615;0.587875057;31.66669429;0.344246765;30477721.27;791.4286764;110.3994559;635.3718778;34225.17551;372.0598636
A016;SEP;2022;Late dry;Sao Mateus;low;21.78;11;17736.85972;384.0745027;0.697390795;0.053979251;0.374880196;29.20365461;1.734159346;46180778.98;1815.76957;140.543698;976.0611371;76036.4315;4515.163943
A017;SEP;2022;Late dry;Sao Mateus;high;24.61;20;20898.77188;446.3499536;0.665255589;0.050016915;0.300359661;32.32113749;0.834970759;46821494.45;1490.434991;112.0576223;672.9241457;72412.10004;1870.663931
A018;OCT;2022;Early wet;Sao Mateus;low;27.64;21;28605.49835;625.0192183;1.399783015;0.069768045;0.417677771;43.87859907;0.724926618;45767390.05;2239.583959;111.6254398;668.2638842;70203.5998;1159.846925
A019;OCT;2022;Early wet;Sao Mateus;high;28.34;NA;23097.32693;506.7966841;1.595185565;0.073339355;0.339436556;35.73789682;0.674847965;45575134.28;3147.58485;144.711592;669.7686988;70517.22702;1331.595067
A030;NOV;2022;Early wet;Sao Mateus;low;27.76;4;16749.33606;383.4007481;4.00641205;0.11495424;0.505733965;26.46266519;4.839668054;43686237.29;10449.67197;299.8278967;1319.074016;69020.90129;12623.00107
A031;NOV;2022;Early wet;Sao Mateus;gradient;28.04;1.07;5120.617601;136.9791228;3.956354131;0.103721399;0.673180362;9.728066051;7.693050421;37382467.46;28882.89872;757.2058955;4914.474181;71018.60379;56162.21117
